,decay,dev_acc,keep_prob,layers_dim,learning_rate,scale_l2,train_acc
92,0.999528051,0.865168512,0.670289233,"[51, 16.0, 8.0, 7.0, 4.0, 1]",0.000293341,0.03888747,0.806179762
49,0.983411433,0.865168512,0.947481069,"[51, 20.0, 18.0, 10.0, 1]",3.22E-05,0.035540651,0.80898875
56,0.963797185,0.865168512,0.913040522,"[51, 17.0, 15.0, 8.0, 1]",6.97E-05,0.03186211,0.807584286
64,0.954582842,0.859550536,0.857808975,"[51, 14.0, 14.0, 7.0, 3.0, 2.0, 1]",0.000158918,0.039263865,0.806179762
37,0.999652306,0.853932559,0.800588448,"[51, 4.0, 3.0, 1]",1.99E-05,0.004824962,0.811797738
13,0.851285675,0.853932559,0.809154424,"[51, 11.0, 9.0, 6.0, 3.0, 1]",0.00935724,0.029380885,0.83005619
47,0.998674735,0.848314583,0.598234515,"[51, 5.0, 1]",5.44E-05,0.048832305,0.803370774
17,0.989107221,0.842696607,0.895364049,"[51, 19.0, 18.0, 11.0, 1]",0.007259874,0.037869208,0.810393274
40,0.99963842,0.842696607,0.921258506,"[51, 17.0, 1]",1.19E-05,0.016666939,0.811797738
68,0.981653989,0.842696607,0.867553333,"[51, 21.0, 15.0, 7.0, 1]",0.000735932,0.043118574,0.806179762
24,0.998500735,0.842696607,0.565672712,"[51, 11.0, 9.0, 3.0, 1]",0.007179735,0.008180332,0.852528095
30,0.999549956,0.842696607,0.731648123,"[51, 3.0, 1]",0.001810775,0.051835497,0.803370774
20,0.99782245,0.837078631,0.935719961,"[51, 21.0, 9.0, 1]",0.000217686,0.04767233,0.799157321
42,0.99569146,0.837078631,0.67216956,"[51, 7.0, 1]",0.000338664,0.016653842,0.825842679
81,0.997473113,0.837078631,0.87938748,"[51, 15.0, 14.0, 4.0, 1]",0.00011262,0.007771211,0.862359524
41,0.99646204,0.837078631,0.928592714,"[51, 21.0, 13.0, 6.0, 4.0, 3.0, 1]",1.61E-05,0.046667938,0.792134821
84,0.878712504,0.837078631,0.908325221,"[51, 18.0, 16.0, 11.0, 2.0, 1]",0.000350876,0.002353465,0.844101131
14,0.938334656,0.837078631,0.902904955,"[51, 16.0, 16.0, 4.0, 1]",0.000498994,0.059604322,0.790730357
31,0.988772948,0.831460655,0.798275614,"[51, 17.0, 10.0, 1]",0.000471035,0.018436935,0.832865179
33,0.998352521,0.831460655,0.845977972,"[51, 20.0, 19.0, 13.0, 13.0, 1]",1.37E-05,0.004311626,0.846910119
61,0.999496285,0.831460655,0.658542894,"[51, 19.0, 17.0, 11.0, 11.0, 8.0, 1]",0.009111811,0.001355279,0.884831488
83,0.99667769,0.831460655,0.821741695,"[51, 16.0, 11.0, 9.0, 1]",0.000107897,0.027725754,0.827247202
52,0.984261306,0.831460655,0.914422849,"[51, 22.0, 21.0, 7.0, 1]",0.006983536,0.005291778,0.891853929
39,0.996486046,0.825842679,0.620223688,"[51, 17.0, 16.0, 16.0, 16.0, 4.0, 1]",0.004839704,0.001859018,0.884831488
63,0.997004514,0.825842679,0.9443147,"[51, 18.0, 17.0, 13.0, 12.0, 6.0, 1]",7.33E-05,0.033334967,0.825842679
46,0.995962166,0.825842679,0.954256162,"[51, 12.0, 1]",0.000227198,0.008353461,0.841292143
48,0.888605731,0.825842679,0.853093966,"[51, 20.0, 19.0, 9.0, 6.0, 1]",0.004720626,0.007349227,0.880617976
27,0.998841472,0.825842679,0.727723677,"[51, 13.0, 12.0, 7.0, 1]",0.008017715,0.050003185,0.79494381
53,0.99921261,0.825842679,0.870484618,"[51, 17.0, 12.0, 5.0, 4.0, 1]",0.002404157,0.004390078,0.891853929
54,0.966546696,0.825842679,0.889027605,"[51, 21.0, 20.0, 18.0, 14.0, 14.0, 7.0, 6.0, 1]",0.002244687,0.004719214,0.898876429
95,0.988571158,0.825842679,0.830478394,"[51, 20.0, 17.0, 14.0, 10.0, 6.0, 5.0, 1]",0.000696726,0.010396894,0.877808988
70,0.997683017,0.825842679,0.953152589,"[51, 21.0, 12.0, 5.0, 1]",0.001244995,0.089702494,0.776685417
16,0.987588163,0.825842679,0.929113044,"[51, 18.0, 10.0, 3.0, 1]",0.000148865,0.001074626,0.870786488
76,0.991458883,0.820224702,0.916572375,"[51, 20.0, 4.0, 3.0, 1]",0.000332504,0.003235047,0.879213512
3,0.996945802,0.820224702,0.752890147,"[51, 20.0, 17.0, 15.0, 12.0, 11.0, 5.0, 1]",0.000417968,0.001698693,0.901685417
88,0.93455591,0.820224702,0.831422682,"[51, 20.0, 16.0, 12.0, 8.0, 7.0, 1]",0.00262294,0.005133757,0.894662917
8,0.990135505,0.820224702,0.863733796,"[51, 22.0, 19.0, 13.0, 7.0, 1]",0.000283781,0.011132187,0.873595476
9,0.753694869,0.820224702,0.934241199,"[51, 18.0, 15.0, 13.0, 11.0, 5.0, 1]",0.003933545,0.00171539,0.898876429
11,0.994231856,0.820224702,0.946808755,"[51, 19.0, 12.0, 9.0, 8.0, 1]",6.76E-05,0.010444932,0.869382024
57,0.794001836,0.820224702,0.938586324,"[51, 21.0, 20.0, 14.0, 11.0, 4.0, 1]",0.002434728,0.005999879,0.879213512
58,0.997028702,0.820224702,0.953966002,"[51, 21.0, 20.0, 11.0, 10.0, 2.0, 1]",9.40E-05,0.011068049,0.872191012
15,0.99942122,0.820224702,0.790277895,"[51, 21.0, 14.0, 4.0, 1]",0.000745465,0.015638612,0.851123571
25,0.999608792,0.820224702,0.811958045,"[51, 21.0, 16.0, 14.0, 8.0, 8.0, 1]",1.57E-05,0.010701101,0.841292143
75,0.998148258,0.820224702,0.938305332,"[51, 20.0, 15.0, 12.0, 9.0, 1]",0.000131127,0.018471353,0.855337083
38,0.938757781,0.820224702,0.592983424,"[51, 20.0, 13.0, 1]",0.00198776,0.020647891,0.828651667
73,0.999533876,0.820224702,0.881582055,"[51, 22.0, 22.0, 21.0, 18.0, 5.0, 4.0, 1]",1.55E-05,0.003737945,0.870786488
36,0.979975634,0.820224702,0.609228378,"[51, 18.0, 12.0, 10.0, 9.0, 1]",0.006344301,0.01547602,0.845505595
59,0.998533997,0.820224702,0.932603916,"[51, 9.0, 1]",1.88E-05,0.014783665,0.814606726
60,0.998646076,0.820224702,0.891203407,"[51, 18.0, 15.0, 1]",0.008602974,0.006798718,0.869382024
32,0.946027947,0.820224702,0.871397656,"[51, 16.0, 14.0, 6.0, 1]",0.003641191,0.003199442,0.890449464
43,0.998030571,0.820224702,0.851550692,"[51, 12.0, 12.0, 7.0, 6.0, 1]",0.000161178,0.011521449,0.869382024
79,0.990411779,0.814606726,0.919746061,"[51, 20.0, 15.0, 14.0, 7.0, 1]",0.000317849,0.009757344,0.872191012
82,0.998978696,0.814606726,0.747610097,"[51, 20.0, 17.0, 16.0, 4.0, 1]",0.001017475,0.014632961,0.851123571
55,0.99802066,0.814606726,0.92020454,"[51, 16.0, 13.0, 6.0, 3.0, 1]",0.000113566,0.014001474,0.852528095
86,0.998936376,0.814606726,0.919593585,"[51, 16.0, 10.0, 5.0, 5.0, 1]",3.74E-05,0.002758249,0.877808988
34,0.993100579,0.814606726,0.92269791,"[51, 21.0, 13.0, 6.0, 1]",0.000541983,0.023267089,0.835674167
6,0.998651149,0.814606726,0.868597615,"[51, 19.0, 19.0, 1]",7.33E-05,0.002923729,0.877808988
10,0.985554432,0.814606726,0.901208199,"[51, 21.0, 9.0, 4.0, 1]",0.000376033,0.004180542,0.8820225
28,0.946735576,0.814606726,0.830891292,"[51, 20.0, 19.0, 16.0, 12.0, 3.0, 1]",0.000242525,0.001830847,0.859550536
23,0.991720993,0.814606726,0.786130071,"[51, 15.0, 11.0, 10.0, 7.0, 3.0, 1]",0.000213288,0.00671738,0.877808988
0,0.998472312,0.80898875,0.760837862,"[51, 14.0, 13.0, 12.0, 6.0, 5.0, 4.0, 1]",0.000252851,0.007347471,0.875
96,0.995320753,0.80898875,0.874584578,"[51, 18.0, 17.0, 13.0, 12.0, 12.0, 1]",0.000632756,0.007663723,0.883426964
4,0.980396533,0.80898875,0.875453306,"[51, 16.0, 15.0, 2.0, 1]",0.001470936,0.021559838,0.837078631
5,0.997819405,0.80898875,0.947111567,"[51, 20.0, 5.0, 1]",0.000201687,0.001437855,0.880617976
35,0.999534556,0.80898875,0.760245335,"[51, 22.0, 17.0, 16.0, 15.0, 7.0, 3.0, 1]",3.88E-05,0.004448858,0.875
12,0.99556839,0.80898875,0.939901503,"[51, 19.0, 17.0, 9.0, 1]",2.20E-05,0.003220718,0.86095506
65,0.990419709,0.80898875,0.900968451,"[51, 21.0, 15.0, 14.0, 12.0, 7.0, 1]",0.001413852,0.011539009,0.875
66,0.932223088,0.80898875,0.909597126,"[51, 16.0, 12.0, 6.0, 1]",0.000694469,0.02648161,0.835674167
18,0.803429437,0.80898875,0.940865012,"[51, 19.0, 10.0, 1]",0.00266511,0.001860764,0.872191012
74,0.993290035,0.80898875,0.574459477,"[51, 21.0, 18.0, 1]",1.34E-05,0.001292992,0.825842679
71,0.999516317,0.803370774,0.930041047,"[51, 22.0, 22.0, 12.0, 7.0, 6.0, 1]",0.000395773,0.001201863,0.921348333
69,0.99819416,0.803370774,0.94149783,"[51, 21.0, 20.0, 14.0, 8.0, 4.0, 1]",0.00019245,0.027549696,0.83005619
62,0.993865632,0.803370774,0.891936131,"[51, 22.0, 19.0, 10.0, 1]",4.56E-05,0.003518216,0.875
87,0.998975297,0.803370774,0.575540517,"[51, 22.0, 1]",0.00161978,0.002265084,0.866573036
94,0.993512502,0.786516845,0.935756031,"[51, 19.0, 18.0, 12.0, 9.0, 3.0, 1]",0.003685123,0.001367498,0.915730357
26,0.962200474,0.775280893,0.818733006,"[51, 20.0, 16.0, 13.0, 9.0, 8.0, 3.0, 1]",1.97E-05,0.001243668,0.766853929
90,0.971437433,0.775280893,0.912379103,"[51, 20.0, 12.0, 11.0, 8.0, 5.0, 1]",1.38E-05,0.001587889,0.751404524
51,0.760271849,0.775280893,0.708224632,"[51, 14.0, 13.0, 9.0, 7.0, 1]",9.81E-05,0.007674733,0.692415714
45,0.96874766,0.769662917,0.911363678,"[51, 22.0, 18.0, 14.0, 13.0, 13.0, 11.0, 1]",2.48E-05,0.009850569,0.7570225
7,0.959599374,0.741573036,0.827221929,"[51, 16.0, 16.0, 1]",1.31E-05,0.023191568,0.710674167
85,0.900164512,0.741573036,0.943638746,"[51, 18.0, 16.0, 15.0, 13.0, 8.0, 1]",4.04E-05,0.027758124,0.726123571
67,0.957995557,0.685393274,0.89141806,"[51, 17.0, 15.0, 15.0, 14.0, 8.0, 6.0, 4.0, 1]",1.21E-05,0.008410064,0.650280893
91,0.963605289,0.662921369,0.791347873,"[51, 21.0, 18.0, 16.0, 16.0, 12.0, 12.0, 1]",0.000435321,0.070520945,0.605337083
97,0.985973066,0.662921369,0.810564481,"[51, 22.0, 21.0, 9.0, 8.0, 5.0, 3.0, 1]",0.003658256,0.018321413,0.605337083
89,0.714538866,0.662921369,0.932272578,"[51, 21.0, 14.0, 12.0, 9.0, 8.0, 1]",1.01E-05,0.005056262,0.605337083
93,0.765435543,0.662921369,0.595616351,"[51, 13.0, 12.0, 11.0, 9.0, 9.0, 4.0, 1]",6.45E-05,0.004154867,0.605337083
98,0.998760599,0.662921369,0.853096405,"[51, 20.0, 19.0, 16.0, 12.0, 8.0, 7.0, 6.0, 1]",0.000624214,0.070060649,0.605337083
50,0.998713604,0.662921369,0.885916055,"[51, 21.0, 21.0, 19.0, 16.0, 15.0, 5.0, 4.0, 1]",1.15E-05,0.018924436,0.605337083
80,0.999639922,0.662921369,0.691687231,"[51, 22.0, 13.0, 9.0, 8.0, 7.0, 6.0, 5.0, 1]",0.000536898,0.066139483,0.605337083
78,0.988551461,0.662921369,0.812030061,"[51, 17.0, 10.0, 7.0, 5.0, 1]",0.000648245,0.083372782,0.605337083
77,0.997356719,0.662921369,0.611235936,"[51, 22.0, 16.0, 15.0, 9.0, 6.0, 5.0, 1]",7.32E-05,0.045382534,0.605337083
1,0.924363367,0.662921369,0.889950509,"[51, 19.0, 16.0, 9.0, 5.0, 5.0, 5.0, 1]",0.001350001,0.029725904,0.605337083
29,0.999044709,0.662921369,0.81180309,"[51, 22.0, 22.0, 20.0, 16.0, 12.0, 8.0, 4.0, 1]",2.51E-05,0.030935618,0.605337083
22,0.991506073,0.662921369,0.848266838,"[51, 14.0, 12.0, 12.0, 12.0, 3.0, 2.0, 1]",0.000759112,0.07374068,0.605337083
21,0.823840326,0.662921369,0.919571747,"[51, 12.0, 6.0, 6.0, 4.0, 1]",1.61E-05,0.018702149,0.605337083
19,0.814306291,0.662921369,0.629327696,"[51, 18.0, 13.0, 11.0, 10.0, 1]",0.002736637,0.063104512,0.605337083
2,0.990167387,0.662921369,0.876542,"[51, 18.0, 10.0, 10.0, 9.0, 8.0, 5.0, 1]",0.004284475,0.06101732,0.605337083
72,0.906649809,0.623595476,0.56517496,"[51, 8.0, 1]",1.81E-05,0.047628493,0.592696607
99,0.730640787,0.376404494,0.922359627,"[51, 13.0, 8.0, 1]",1.25E-05,0.017391169,0.432584256
44,0.895501445,0.348314613,0.863225698,"[51, 21.0, 21.0, 3.0, 1]",1.48E-05,0.054753583,0.38904494
