model_number,decay,keep_prob,layers_dim,learning_rate,scale_l2
model_0,0.992275,0.757461,"[6.0, 6.0, 5.0]",0.00142,0.089718
model_1,0.983779,0.649774,"[22.0, 18.0, 7.0]",0.000116,0.048822
model_2,0.977483,0.698678,"[20.0, 16.0, 15.0, 12.0, 12.0, 7.0, 7.0]",0.000358,0.005574
model_3,0.993682,0.950776,"[20.0, 20.0, 20.0, 18.0, 17.0, 15.0, 3.0]",0.00019,0.04868
model_4,0.977876,0.94747,[13.0],0.000016,0.035516
model_5,0.937773,0.568281,"[11.0, 10.0, 10.0, 7.0, 3.0]",0.000056,0.001074
model_6,0.816978,0.616679,"[19.0, 12.0, 3.0]",0.000035,0.086735
model_7,0.983645,0.762456,"[20.0, 4.0, 4.0, 3.0, 2.0, 2.0]",0.009189,0.025352
model_8,0.997233,0.921237,"[11.0, 9.0, 8.0, 6.0, 5.0]",0.000225,0.015782
model_9,0.982546,0.923811,"[22.0, 9.0, 7.0, 3.0]",0.000996,0.007337
model_10,0.97409,0.637332,"[21.0, 14.0, 12.0, 11.0, 9.0, 3.0]",0.000053,0.002236
model_11,0.972018,0.870757,"[20.0, 18.0, 13.0, 11.0, 8.0]",0.000016,0.006627
model_12,0.726167,0.901368,"[18.0, 18.0, 18.0, 16.0, 12.0, 12.0]",0.000117,0.025235
model_13,0.992619,0.871057,"[22.0, 14.0, 12.0]",0.000516,0.014041
model_14,0.805089,0.951654,"[18.0, 17.0, 17.0, 12.0, 8.0, 2.0]",0.000551,0.002265
model_15,0.980881,0.927666,"[15.0, 5.0]",0.000501,0.022927
model_16,0.920075,0.906234,"[18.0, 17.0, 16.0, 13.0, 8.0]",0.000129,0.089752
model_17,0.990512,0.941642,[18.0],0.000011,0.012488
model_18,0.700175,0.88701,"[21.0, 18.0, 17.0, 10.0, 7.0, 4.0, 4.0]",0.005936,0.002242
model_19,0.9897,0.930742,[17.0],0.008255,0.024529
